Class	x	y
C1	0.385254	0.389078
C1	0.463272	0.407295
C1	0.435097	0.508762
C1	0.354194	0.549439
C1	0.436605	0.537762
C1	0.448429	0.582159
C1	0.436769	0.539109
C1	0.501263	0.548332
C1	0.553679	0.640311
C1	0.580183	0.524776
C1	0.54659	0.541134
C1	0.621119	0.489155
C1	0.602187	0.506353
C1	0.595182	0.439922
C1	0.456746	0.435497
C1	0.641276	0.428981
C1	0.498461	0.374824
C1	0.544581	0.371936
C1	0.511671	0.385759
C1	0.446399	0.418983
C1	0.437392	0.540514
C1	0.392573	0.477297
C1	0.430481	0.548415
C1	0.434768	0.661567
C1	0.392567	0.598901
C1	0.479316	0.607224
C1	0.485579	0.584397
C1	0.539102	0.634015
C1	0.61692	0.645291
C1	0.596328	0.647636
C1	0.548285	0.560363
C1	0.583729	0.568636
C1	0.520188	0.545962
C1	0.613117	0.605029
C1	0.59318	0.590567
C1	0.528154	0.487686
C1	0.677868	0.458127
C1	0.619923	0.445805
C1	0.499444	0.403001
C1	0.510035	0.429349
C1	0.51177	0.443447
C1	0.602155	0.429298
C2	0.240379	0.753963
C2	0.192841	0.801901
C2	0.246467	0.913629
C2	0.295899	0.814057
C2	0.260049	0.87007
C2	0.370644	0.816376
C2	0.331761	0.914123
C2	0.355561	0.919206
C2	0.403433	0.860975
C2	0.35106	0.859813
C2	0.371702	0.902808
C2	0.482538	0.946811
C2	0.503279	0.969617
C2	0.56841	0.918789
C2	0.634103	0.886899
C2	0.602121	0.946743
C2	0.685302	0.87856
C2	0.687843	0.884576
C2	0.731944	0.921686
C2	0.770155	0.853414
C2	0.798755	0.857068
C2	0.768501	0.833985
C2	0.824626	0.763096
C2	0.868621	0.779111
C2	0.840687	0.798526
C2	0.835314	0.711385
C2	0.873396	0.74643
C2	0.845454	0.705463
C2	0.8981	0.618364
C2	0.952782	0.632229
C2	0.948138	0.608747
C2	0.984746	0.544769
C2	0.911767	0.531231
C2	0.93257	0.521634
C2	0.934152	0.500286
C2	0.898043	0.486019
C2	0.874259	0.419359
C2	0.885552	0.383152
C2	0.959475	0.276409
C2	0.860071	0.325676
C2	0.898286	0.307834
C2	0.879461	0.304944
C2	0.851599	0.300164
C2	0.862968	0.257165
C2	0.858549	0.206022
C2	0.917866	0.241741
C2	0.83242	0.223272
C2	0.81828	0.133769
C2	0.801165	0.244626
C2	0.828085	0.262626
C2	0.746607	0.194586
C2	0.741316	0.197972
C2	0.743998	0.17184
C2	0.789457	0.114826
C2	0.726204	0.207221
C2	0.65455	0.0826874
C2	0.699203	0.15196
C2	0.689735	0.08725
C2	0.586463	0.0732061
C2	0.610441	0.192104
C2	0.581807	0.104181
C2	0.523832	0.026167
C2	0.523904	0.106256
C2	0.505766	0.0595445
C2	0.433085	0.0959188
C2	0.412531	0.125656
C2	0.330979	0.170057
C2	0.273637	0.130528
C2	0.35707	0.165029
C2	0.262605	0.18069
C2	0.26679	0.195106
C2	0.220402	0.209867
C2	0.198145	0.222198
C2	0.233343	0.231908
C2	0.20997	0.318947
C2	0.204797	0.286691
C2	0.193461	0.316235
C2	0.254244	0.41388
C2	0.21934	0.354062
C2	0.212285	0.456991
C2	0.0784506	0.435176
C2	0.166171	0.566391
C2	0.0697337	0.555833
C2	0.0997474	0.616176
C2	0.183751	0.56773
C2	0.17873	0.708211
C2	0.168008	0.584593
C2	0.169676	0.736623
C2	0.16613	0.703826
C2	0.141286	0.529365
C2	0.163702	0.479526
C2	0.0677384	0.544819
C2	0.134028	0.449622
C2	0.0945537	0.435869
C2	0.109022	0.489517
C2	0.112283	0.544418
C2	0.127994	0.582315
C2	0.939855	0.286184
C2	0.873317	0.397891
C2	0.955494	0.431131
C2	0.931483	0.481931
C2	0.937072	0.426931
C1	0.613659	0.445988
C1	0.591293	0.392085
C1	0.579836	0.409865
C1	0.574279	0.362777
C1	0.5924	0.33041
C1	0.578828	0.410784
C1	0.64175	0.388897
C1	0.613472	0.393307
C1	0.638814	0.412976
C1	0.620073	0.429931
C1	0.687764	0.510355
C1	0.733869	0.538861
C1	0.677129	0.572262
C1	0.549819	0.538552
C1	0.65604	0.521864
C1	0.611149	0.644031
C1	0.603613	0.585953
C1	0.609792	0.545517
C1	0.554488	0.617691
C1	0.566367	0.648783
C1	0.539808	0.689957
C1	0.4693	0.578327
C1	0.530282	0.620955
C1	0.501031	0.548104
C1	0.444941	0.585859
C1	0.467989	0.525234
C1	0.453963	0.616125
C1	0.406268	0.481002
C1	0.370532	0.446735
C1	0.36461	0.358062
C1	0.432628	0.45939
C1	0.376205	0.36129
C1	0.424423	0.307631
C1	0.395421	0.312829
C1	0.436275	0.357899
C1	0.493588	0.332298
C1	0.498223	0.32811
C1	0.478876	0.411986
C1	0.549183	0.343653
C1	0.478889	0.309363
C1	0.494578	0.352548
C1	0.5332	0.345821
C1	0.578976	0.320052
C1	0.639945	0.381422
C1	0.50853	0.383564
C1	0.434672	0.46595
C1	0.478468	0.53263
C1	0.432	0.504447
C1	0.400692	0.566674
C1	0.423863	0.557837
C1	0.434577	0.630494
C1	0.503404	0.559461
C1	0.514623	0.61349
C1	0.443282	0.645557
C1	0.553765	0.625631
C1	0.472938	0.568508
C1	0.515683	0.594094
C1	0.526951	0.61528
C1	0.498543	0.631207
C1	0.575657	0.666743
C1	0.515896	0.68923
C2	0.185645	0.383204
C2	0.198328	0.397005
C2	0.134934	0.340991
C2	0.113976	0.32635
C2	0.154093	0.763357
C2	0.0769908	0.733022
C2	0.980866	0.755169
C2	0.907119	0.787065
C2	0.919689	0.608605
C2	0.681791	0.974559
C2	0.664603	0.91804
