Class	x	y
C1	0.143987	0.399249
C1	0.151409	0.359625
C1	0.111268	0.378778
C1	0.238284	0.397257
C1	0.214254	0.408024
C1	0.26847	0.375191
C1	0.256058	0.409903
C1	0.361215	0.361738
C1	0.313901	0.416778
C1	0.323184	0.359964
C1	0.382572	0.392612
C1	0.412486	0.348351
C1	0.380444	0.320104
C1	0.348654	0.350437
C1	0.438292	0.296621
C1	0.371569	0.28121
C1	0.391245	0.187682
C1	0.398389	0.160353
C1	0.394173	0.296935
C1	0.393152	0.191969
C1	0.406932	0.202016
C1	0.360759	0.178758
C1	0.345016	0.116309
C1	0.359232	0.160409
C1	0.371405	0.107078
C1	0.322206	0.159364
C1	0.314665	0.0379931
C1	0.34603	0.0926957
C1	0.303479	0.156605
C1	0.258425	0.118812
C1	0.190278	0.164731
C1	0.195222	0.104999
C1	0.175536	0.171165
C1	0.165584	0.0842303
C1	0.175606	0.123028
C1	0.0829363	0.145609
C1	0.172836	0.223193
C1	0.131185	0.204859
C1	0.161558	0.187587
C1	0.173248	0.231483
C1	0.108862	0.233559
C1	0.134154	0.258998
C1	0.166098	0.258269
C1	0.157123	0.229386
C1	0.122488	0.319528
C1	0.162704	0.295025
C1	0.193143	0.343176
C1	0.152071	0.356044
C1	0.156106	0.272228
C1	0.182736	0.267902
C1	0.194993	0.265648
C1	0.253691	0.250882
C1	0.293561	0.182323
C1	0.286548	0.265267
C1	0.212536	0.179298
C1	0.240095	0.232795
C1	0.296891	0.320946
C1	0.338802	0.316324
C1	0.305713	0.246717
C1	0.260544	0.344969
C1	0.274332	0.295151
C1	0.283222	0.326904
C1	0.29894	0.290643
C2	0.14442	0.871901
C2	0.0829734	0.873914
C2	0.176817	0.783085
C2	0.178712	0.778861
C2	0.108888	0.733978
C2	0.184968	0.677005
C2	0.174635	0.684495
C2	0.118662	0.614603
C2	0.134094	0.600339
C2	0.139032	0.685607
C2	0.140214	0.57175
C2	0.0971252	0.59314
C2	0.165323	0.564648
C2	0.146392	0.608689
C2	0.163126	0.579165
C2	0.0547599	0.601582
C2	0.272525	0.6001
C2	0.185101	0.534199
C2	0.296109	0.527956
C2	0.331252	0.543456
C2	0.319789	0.56997
C2	0.347183	0.676403
C2	0.326103	0.566211
C2	0.371924	0.593711
C2	0.361968	0.671633
C2	0.294445	0.588835
C2	0.349541	0.580382
C2	0.338395	0.555877
C2	0.376092	0.617239
C2	0.43017	0.657034
C2	0.401665	0.684544
C2	0.35204	0.627468
C2	0.384318	0.660905
